"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url"
2026-02-28,"Saturday","Saint John's",18,"Buena Vista University",0,"Final","Final","Saint John's",FALSE,"Shawnee, KS","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OI3CascUOnv8%2f49fjMxu7MCCOLC%2ffymeHjubD54wPeBs%3d&path=baseball"
2026-02-28,"Saturday","Hamline",10,"Martin Luther College",11,"Final","Final","Martin Luther College",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiHuouEUJWyOEFfmpCcIY%2bubxHipbN56bJ1JmICA%2foW0Ht7d5Q6nA822RXeekSLEiu&path=baseball"
2026-02-28,"Saturday","Macalester",7,"University of Mary Hardin-Baylor",17,"Final","Final","University of Mary Hardin-Baylor",FALSE,"Belton, TX // Red Murff Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2DDR%2bIUhNRb5mtzksNJWrrWFZNsEfkhI98StI0UT9DW4%2bUjv2z90fJ%2frqMOM%2b2wT9&path=baseball"
2026-02-28,"Saturday","Concordia",3,"University of Dubuque",0,"Final","Final","Concordia",FALSE,"Davenport, FL // NERP","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUZoBMjKYK9%2bKXgJqc4EcEMuJcAQD3qRXqEexdEwTNOpMmcYi5n0nxnq%2f8hUcdKpS4YrxoGyi2uh99XaOD2qL0Jm&path=baseball"
2026-03-01,"Sunday","Grove City College",11,"St. Olaf",7,"Final","Final","Grove City College",FALSE,"Davenport, FL // NERP #2","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhL33mUXIoHbyjU5BK9WUcNDFFjLmey2m3mCnaipuRvdHs%3d&path=baseball"
2026-03-01,"Sunday","Concordia",5,"Marian University",6,"Final","Final","Marian University",FALSE,"Winter Haven, FL // Chain of Lakes
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUbq%2f5tOWw61pff1dBCIpQ1iQV7kzLpNBFOi%2bEGu7xguhF%2f9px6tT%2fmh1XXrVtbh9QvBfmk20pZdoa6T%2fTPChT93&path=baseball"
2026-03-01,"Sunday","Saint Mary's",11,"Trine University",8,"Final","Final","Saint Mary's",FALSE,"Auburndale, FL // Lake Myrtle #7","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCcDCciOnZC8njwcRFlDot7qtO7FiFNJ3yHcpGT8jHAuSbe4%2bkKYMSUNmjHNamfYdt&path=baseball"
2026-03-01,"Sunday","Saint Mary's",3,"Trine University",5,"Final","Final","Trine University",FALSE,"Auburndale, FL // Lake Myrtle #7","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCn%2fGer1DkS3CSNxScfVIx0ypxr1xqqIdbCgKDu54vCw2PxHB7Bp0QWR3kHxjXA4iT&path=baseball"
2026-03-01,"Sunday","Concordia",6,"Marian University",3,"Final","Final","Concordia",FALSE,"Winter Haven, FL // Chain of Lakes
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUZoBMjKYK9%2bKXgJqc4EcEMuBCwZ%2f2XILkD%2fegv4pWfIKh2k4xJaJFtVfkV%2flL1xJwUgL04h0JKjyRf3WcHf7lF9&path=baseball"
2026-03-01,"Sunday","St. Scholastica",9,"Crown College",0,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","St. Scholastica",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVJS1XD%2fazNIa1pzBD6J0fpVGPTT7a2yLa3OEbgpvtOtb8q5NBxq%2f7Sl9mFFxZejQrg%3d&path=baseball"
