"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url","away_runs","home_runs","away_starter","home_starter","away_starter_ip","home_starter_ip","game_id","home_team_std","away_team_std","home_rf_last5","home_ra_last5","home_win_last5","home_rd_last5","away_rf_last5","away_ra_last5","away_win_last5","away_rd_last5","home_rest_days","away_rest_days","home_sp_ip_last5","away_sp_ip_last5","home_era_proxy_last5","away_era_proxy_last5","home_era_season","home_whip_season","home_k_per9_season","home_bb_per9_season","home_opp_ba_season","away_era_season","away_whip_season","away_k_per9_season","away_bb_per9_season","away_opp_ba_season","home_fld_pct_season","home_errors_season","home_dp_season","home_sba_season","home_csb_season","away_fld_pct_season","away_errors_season","away_dp_season","away_sba_season","away_csb_season","away_starter_std","home_starter_std","away_starter_last","home_starter_last","has_both_pitchers","home_win","home_field","run_diff"
"2026-03-21","Saturday","Bethel",4,"Worcester State University",5,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","Bethel",0,"Orlando, FL // NERP 2
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UQKm4fzJDHcheAcL1vFGFE0ewkSVGTVrKU2PVvc6ANf%2bH77PcJbSs0aaYnEfFq6x%2f&path=baseball",4,5,"Nolan Turner (L, 0-2)","Cavan Banks",6,3.2,129,"Worcester State","Bethel",6.66666666666667,7.33333333333333,0.666666666666667,-0.666666666666667,9,5.5,0.666666666666667,3.5,0,0,3.33333333333333,5.05555555555556,14.7272727272727,11.0892857142857,NA,NA,NA,NA,NA,4.99,1.66715542521994,9.89736070381232,4.90909090909091,0.288461538461538,NA,NA,NA,NA,NA,0.968884120171674,29,12,40,15,"Nolan Turner (L, 0-2)","Cavan Banks","turner","banks",FALSE,1,1,1
"2026-03-21","Saturday","Macalester",7,"Bates College",2,"Final","Final","Bates College",0,"Auburndale, FL","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2u8Q2tsD99pWc7ZPqQ%2fknGEDCEpxRiP0qOuSN74phMhCuH9wtgnOi95KPV2KKIE%2fY&path=baseball",7,2,"John Tully (W, 4-0)","Evan Kang (L, 1-1)",6,1,130,"Bates","Macalester",2,7,0,-5,11.1666666666667,6,0.666666666666667,5.16666666666667,NA,1,1,3.83333333333333,27,10.32,NA,NA,NA,NA,NA,6.05,1.68775790921596,7.8363136176066,4.939477303989,0.286902286902287,NA,NA,NA,NA,NA,0.966475095785441,35,14,47,10,"John Tully (W, 4-0)","Evan Kang (L, 1-1)","tully","kang",FALSE,0,1,-5
"2026-03-21","Saturday","Saint Mary's",5,"University of Wisconsin-Superior",0,"Final","Final","Saint Mary's",0,"West Liberty, IA // West Liberty High School","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCgJPqScf8xfGWRKzcFXmEkG0nQFi60cMKT2I3ycH4rkicqjbrpCb%2bn5cAeh%2bT3cql&path=baseball",5,0,"Eric Stomberg (W, 2-2)","Zach Romans (L, 1-2)",4,6.2,131,"of Wisconsin-Superior","Saint Mary's",6.16666666666667,3.83333333333333,0.5,2.33333333333333,5.5,2.5,0.833333333333333,3,1,1,4.94444444444444,5,7.55357142857143,4.25,NA,NA,NA,NA,NA,4.31,1.39514978601997,6.43223965763195,3.3509272467903,0.272209567198178,NA,NA,NA,NA,NA,0.98422090729783,16,31,20,9,"Eric Stomberg (W, 2-2)","Zach Romans (L, 1-2)","stomberg","romans",FALSE,0,1,-5
"2026-03-21","Saturday","Colby College",16,"St. Olaf",7,"Final","Final","Colby College",0,"Davenport, FL // NERP #2
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhL81b6Sclhqc6xJ943dhFwNWcVELUArGtliHu7xW9iqHvU%2bq7RM6Q%2fK3mkBnfomdVd&path=baseball",16,7,"Thomas Rioux","Kevin Steel (L, 0-1)",2.2,3,132,"St. Olaf","Colby",6.16666666666667,6.66666666666667,0.333333333333333,-0.5,16,7,1,9,1,NA,4.11111111111111,2.66666666666667,13.8392857142857,23.625,6.78,1.90232558139535,6.11162790697674,5.73488372093023,0.310502283105023,NA,NA,NA,NA,NA,0.948038176033934,49,21,35,14,NA,NA,NA,NA,NA,"Thomas Rioux","Kevin Steel (L, 0-1)","rioux","steel",FALSE,0,1,-9
"2026-03-21","Saturday","Gustavus",9,"Washington University in St. Louis",13,"Final","Final","Washington University in St. Louis",0,"St. Louis, MO // Kelly Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WugLHLuQm6Ez0%2futVH90BuZc3sW8s1XLrFIXFV1Uz8mnfnbsut2tVp8x13Ia7F7euDH9MByDjdcEmJVw2oL47cRA%3d%3d&path=baseball",9,13,"Jacob Weckop","Levi Gingerich",4.1,3,133,"Washington in St. Louis","Gustavus",12,6,1,6,4.5,9.5,0,-5,0,0,4.5,4.22222222222222,15.75,16.2898785425101,NA,NA,NA,NA,NA,6.37,1.71782178217822,8.37623762376238,5.43564356435644,0.276073619631902,NA,NA,NA,NA,NA,0.960479041916168,33,13,28,5,"Jacob Weckop","Levi Gingerich","weckop","gingerich",FALSE,1,1,4
"2026-03-21","Saturday","Saint Mary's",2,"University of Wisconsin-Superior",7,"Final","Final","Saint Mary's",0,"West Liberty, IA // West Liberty High School","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCaCxB7zk%2bwag0fLs3HEzdpN%2fTNOXnsruIlkppMM0YJsC3Tn94dnwyapNOuCqMgDFP&path=baseball",2,7,"Niles Monroe (L, 1-1)","Kasey Carlson (W, 4-0)",1.2,6,134,"of Wisconsin-Superior","Saint Mary's",7.33333333333333,3.83333333333333,0.666666666666667,3.5,5,3.66666666666667,0.666666666666667,1.33333333333333,0,0,5.27777777777778,4.61111111111111,7.30357142857143,8.75,NA,NA,NA,NA,NA,4.31,1.39514978601997,6.43223965763195,3.3509272467903,0.272209567198178,NA,NA,NA,NA,NA,0.98422090729783,16,31,20,9,"Niles Monroe (L, 1-1)","Kasey Carlson (W, 4-0)","monroe","carlson",FALSE,1,1,5
"2026-03-21","Saturday","Colby College",3,"St. Olaf",4,"Final","Final","Colby College",0,"Davenport, FL // NERP #2
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLIFlF37UhkPc%2bjEgZmgqk31fWgDwCFD5hx9tBqN5wExvBrbKkQe%2buTS84eUcikrQS&path=baseball",3,4,"Sam Hruska","Greg Levin",2.2,4,135,"St. Olaf","Colby",6,6.66666666666667,0.333333333333333,-0.666666666666667,9.5,5.5,0.5,4,0,0,4,2.66666666666667,14,18.5625,6.78,1.90232558139535,6.11162790697674,5.73488372093023,0.310502283105023,NA,NA,NA,NA,NA,0.948038176033934,49,21,35,14,NA,NA,NA,NA,NA,"Sam Hruska","Greg Levin","hruska","levin",FALSE,1,1,1
"2026-03-22","Sunday","Middlebury College",6,"Bethel",8,"Final","Final","Bethel",0,"Orlando, FL // COL 3","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UkLf%2f28vad2bTwYJGMPUaSg2iMMr09YmlHj8V1RlS%2fiBP07FBBlfg9mpVLZumFw9b&path=baseball",6,8,"H. Lloyd (L, 2-1)","Ted Hohn",3.1,4.1,136,"Bethel","Middlebury",9,5.66666666666667,0.666666666666667,3.33333333333333,6,8,0,-2,1,NA,5.22222222222222,3.33333333333333,10.9162087912088,21.6,4.99,1.66715542521994,9.89736070381232,4.90909090909091,0.288461538461538,NA,NA,NA,NA,NA,0.968884120171674,29,12,40,15,NA,NA,NA,NA,NA,"H. Lloyd (L, 2-1)","Ted Hohn","lloyd","hohn",FALSE,1,1,2
"2026-03-22","Sunday","Carleton",7,"Knox College",6,"Final","Final
                                                                                        
                                            
                                            
                                                (10 inn.)","Knox College",0,"Davenport, FL // Northeast Regional Park #1","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhiHCgSvVo6vyVvsDuDSb0a%2bJ%2fFIk6s5oCHx1cXIv%2bDfqVC3Jfn2cm7FBnTy%2fdxG%2bY%2f%2fj4%2b582nzJ%2fC1gkXsLYnnvVYTsbtbqp%2fckOS1Wlt1E&path=baseball",7,6,"Andrew Garrett","Xander Stolberg",4.2,3.2,137,"Knox","Carleton",7,4,0.5,3,4.66666666666667,7.83333333333333,0.5,-3.16666666666667,4,1,6.33333333333333,3.61111111111111,9.09090909090909,18.1428571428571,NA,NA,NA,NA,NA,9.6,2.1280487804878,6.14634146341463,6.80487804878049,0.32703488372093,NA,NA,NA,NA,NA,0.934449093444909,47,14,69,4,"Andrew Garrett","Xander Stolberg","garrett","stolberg",FALSE,0,1,-1
"2026-03-22","Sunday","Union College",5,"St. Olaf",6,"Final","Final
                                                                                        
                                            
                                            
                                                (10 inn.)","St. Olaf",0,"Winter Haven, FL // Chain of Lakes #4","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLZ9%2bMQSs1Hh6pFjcTTxS%2fUb5T7OSLcv7n1Fg2ayWi724%3d&path=baseball",5,6,"Alex Oppenheimer","Brady Gelling",6,1.2,138,"St. Olaf","Union",6.33333333333333,6.66666666666667,0.5,-0.333333333333333,5,6,0,-1,1,NA,3.44444444444444,6,17,9,6.78,1.90232558139535,6.11162790697674,5.73488372093023,0.310502283105023,NA,NA,NA,NA,NA,0.948038176033934,49,21,35,14,NA,NA,NA,NA,NA,"Alex Oppenheimer","Brady Gelling","oppenheimer","gelling",FALSE,1,1,1
"2026-03-22","Sunday","Gustavus",2,"Washington University in St. Louis",6,"Final","Final","Washington University in St. Louis",0,"St. Louis, MO // Kelly Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9WuQ5GV3sd5EA4Nfuc1Cp2lMTmdiwlLDQs767iOmELwc%2fxE%2fuisnpgSmzow6D%2fd0JR0Zz%2bzCVr9FkyI5OH4XuP0eA%3d%3d&path=baseball",2,6,"Logan Feeney (L, 2-1)","Chase Brickley (W, 6-0)",5,7,139,"Washington in St. Louis","Gustavus",10,4.66666666666667,1,5.33333333333333,4.16666666666667,7.5,0,-3.33333333333333,1,1,5.33333333333333,5,11.3571428571429,13.5898785425101,NA,NA,NA,NA,NA,6.37,1.71782178217822,8.37623762376238,5.43564356435644,0.276073619631902,NA,NA,NA,NA,NA,0.960479041916168,33,13,28,5,"Logan Feeney (L, 2-1)","Chase Brickley (W, 6-0)","feeney","brickley",FALSE,1,1,4
"2026-03-22","Sunday","Saint Mary's",6,"University of Wisconsin-Superior",2,"Final","Final","Saint Mary's",0,"West Liberty, IA // West Liberty High School","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCoEbbAQCoy16v9NXAKHD0ytrdzUYdU9FyRJLPZ6HL4tXQNF6wz4LozpqeeLsUUN41&path=baseball",6,2,"Connor Tulley (W, 2-2)","Carter Thielke (L, 2-1)",5,3.1,140,"of Wisconsin-Superior","Saint Mary's",7.33333333333333,4.33333333333333,0.666666666666667,3,5.16666666666667,3.5,0.666666666666667,1.66666666666667,1,1,5.16666666666667,4.44444444444444,8.87857142857143,8.6,NA,NA,NA,NA,NA,4.31,1.39514978601997,6.43223965763195,3.3509272467903,0.272209567198178,NA,NA,NA,NA,NA,0.98422090729783,16,31,20,9,"Connor Tulley (W, 2-2)","Carter Thielke (L, 2-1)","tulley","thielke",FALSE,0,1,-4
"2026-03-22","Sunday","Hamline",11,"Simpson College",2,"Final","Final","Hamline",0,"Indianola, IA // McBride Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiM5E9KVKfInt7HpB1RSwdqCuGQulaD%2fQDXppeToSV6AT386Hs%2fxM%2bDXF%2bw5DgCnNK&path=baseball",11,2,"Hans Christensen (W, 2-0)","Drew Carlson (L, 2-1)",7,2.1,141,"Simpson","Hamline",4.25,9.75,0.25,-5.5,7.5,9.16666666666667,0.5,-1.66666666666667,14,8,4.25,4.66666666666667,16.5857142857143,16.9285714285714,NA,NA,NA,NA,NA,6.89,1.7063829787234,7.0468085106383,4.74893617021277,0.293432203389831,NA,NA,NA,NA,NA,0.954954954954955,45,24,27,7,"Hans Christensen (W, 2-0)","Drew Carlson (L, 2-1)","christensen","carlson",FALSE,0,1,-9
